roomID,room_name,city,location,latitude,longitude,accomodation_type,min_price,rating,general_review,total_review_num,image_link,img_link_2,img_link_3,img_link_4,img_link_5,owner_comment
50000,산너머펜션,경기,경기 양평군 옥천면 신복리 65,37.589085600000004,127.4548259,펜션,50000,8.9,만족해요,10.0,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/3f1f24cc7edc4f9fb081daab7dfca85b.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/3f1f24cc7edc4f9fb081daab7dfca85b.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/302666b758fc41cd9d238bd48b610d62.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/9ebad655fb73458ba72f0a14b6cc7698.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/c64a09b4ad06422f8e09bc1b39659044.jpg,펜션 앞에 계곡이 있습니다 펜션 내 카페를 보유하고 있습니다
50001,전라무주좋은인연펜션,전북,전북 무주군 설천면 삼공리 731-1,35.909324100000006,127.7761686,펜션,70000,7.3,만족해요,2.0,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/36785d4c089544f38f0c79140cc5afab.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/36785d4c089544f38f0c79140cc5afab.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/a51fc6792edc4114ba4e6df02fc5d155.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/71040329d91f4ef995dff323e067ea99.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/319f88733dd843faae0078910595da87.jpg,계곡 앞에 위치하고 있습니다 바베큐 시설을 구비하고 있습니다
50002,부여굿뜨래웰빙마을 글램핑코리아,충남,충남 부여군 부여읍 가탑리 94-3,36.275367700000004,126.93099040000001,글램핑, ,9.0,추천해요,10.0,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/23/12/8d79398af0af4fa4ba7554e8cb9bcb1a.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/23/12/8d79398af0af4fa4ba7554e8cb9bcb1a.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/07/17/02/265eb28fe24545b9b4a8492bb413e885.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/07/17/02/a354944fa4bc45d8868537f721a2361a.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/23/12/705ef6dc2fc74faa85ac76c3f5f9d945.jpg,"족구장, 농구장, 물놀이장 이용 가능합니다 주변에 관광지가 많이 있습니다"
50006,거제로펜션,경남,경남 거제시 동부면 학동리 233,34.7780052,128.64181979999998,펜션,60000,,,,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/20/01/500d4e44730f4afda323fe910a87ef74.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/20/01/500d4e44730f4afda323fe910a87ef74.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2019/09/09/05/0d9193efa56f45df89732bf561910df0.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2019/09/09/05/39e74745426a4e8f8d8a42b3e217f114.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2019/09/09/05/671664d747464cd58aabf2c0eb20a28d.jpg,공용 세탁실 이용 가능합니다 해변에서 물놀이 후 세탁이 용이합니다
50007,해뜨는집,강원,강원 춘천시 남산면 방곡리 401-3,37.8066402,127.6365303,기타,54000,,,,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/31b20e4448564a6a86aa1cf55da61b00.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/31b20e4448564a6a86aa1cf55da61b00.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/5db041e0ef2a4550847603b8d94b1ecd.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/f8cb40baa26b44daaa7eb3bfcdd0c0ce.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/a6ebc5cfeae34962a225c5872458da65.jpg,강촌역 인근에 위치한 펜션으로 픽업서비스를 제공합니다
50008,황금들녘펜션,전남,전남 여수시 화양면 창무리 454,34.7403246,127.61430220000001,펜션,200000,9.1,추천해요,4.0,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/7d6e487524ae461da5e2e92d637f1b87.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/7d6e487524ae461da5e2e92d637f1b87.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/48bd63b369704cadb29597b8db805d92.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/77477e73018440ed8297fd2eb0e72c9a.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/f74fd09745b64db2ab1dc776a0f7214e.jpg,깨끗한 객실을 보유한 신축펜션입니다 넓은 주차장을 보유하고 있습니다
50009,홍천 보금자리펜션,강원,강원 홍천군 서면 어유포리 285-1,37.7022565,127.6887999,펜션, ,9.7,최고예요,2.0,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/4dff85bd6fba496b853ec46ac6aa0035.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/4dff85bd6fba496b853ec46ac6aa0035.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/c273a6fe0aac479f96703fcc96cbdca9.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/f0e2f9fabbc241fe8d1d2690e13c85fa.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/dbf7daadfb5747d89e6a55eb53c6d45a.jpg,홍천강 인근에 위치하고 있습니다 노래방 이용 가능합니다
50101,올래어촌펜션,제주,제주특별자치도 제주시 이호일동 1700-4,33.496801899999994,126.4515591,펜션,60000,10.0,최고예요,1.0,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/1ea9d1eae29449868978a90f1122c7e4.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/1ea9d1eae29449868978a90f1122c7e4.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/916581c3f7ec430f86e1ed0472f66be5.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/212e9d9929154121b7b37d6bde89a931.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/cb41271646fe457e836a5a98832dc353.jpg,흑돼지정육식당과 횟집을 보유하고 있습니다 공항 인근에 위치해있습니다
50102,삼척 장호 굿모닝펜션,강원,강원 삼척시 근덕면 장호리 212,37.2844841,129.3134195,펜션,59000,9.4,추천해요,48.0,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/a6b60b96012344db853c3e43e217a022.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/a6b60b96012344db853c3e43e217a022.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/d96d27356b9547ad887099cca5162f55.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/e96e6b640c994fad817ab9502ce38f43.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/0671579bbabb4c6883dd2a3211cfa44c.jpg,오션뷰 펜션입니다 인터넷 이용이 가능합니다
50103,라비타펜션,경기,경기 가평군 가평읍 금대리 272-9,37.7686894,127.53934679999999,펜션,60000,7.6,만족해요,17.0,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/6fee7b13803e4bc28f7d61ab3933dd0e.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/6fee7b13803e4bc28f7d61ab3933dd0e.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/6f4241f47e3148d58ce95faaefe0f90c.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/bbdc8ffe62434536b9d5418f8cb0a5de.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/c16ce6703a30497ea64b48eb60e00c5a.jpg,펜션 앞에서 수상레저 가능합니다 리버뷰를 보며 바베큐가 가능합니다
